id,description
57898,The Phoenix House Florida provides rehabilitation for those with drug or mental health problems. The program is known to be affordable. Outpatient and inpatient programs are available.
57912,A state certified domestic violence program. The program stresses a power and control model curriculum.
57919,"Support group for men and women with cancer, their caregivers and friends, who are helping each other to cope with this disease and raise the awareness needed for early detection and cure."
58021,Provides support and information sharing for the loved ones and caregivers of those suffering with brain injury.
58022,Provides support and information sharing for the loved ones and caregivers of those suffering with the degenerative neurological disorder ALS.
58046,Provides programs designed to prevent and cure diabetes and to improve the lives of all people affected by diabetes.
58056,Support group for those infected and affected by hiv and aids
58065,Support groups for those diagnosed with the chornic autoimmune illness known as lupus.
58088,"Provides a support group for children who have lost a parent through death, divorce or separation."
58285,A support group for those who are struggling with grief.
58326,The Brain Injury Association of Florida offers support and general counseling for people who have been involved in a brain injury.
58327,"Provides professional, compassionate care to terminally ill patients at home, in nursing homes and in hospital settings."
58329,End of life care
58335,Christian counseling center with trained lay counselors under the supervision of a degreed mental health counselor.
58370,"Provides services for victims of domestic violence, counseling, support groups, and advocacy."
58463,"Offers substance abuse programs, outpatient therapy, group counseling, and aftercare. Also, some workshops for parenting, anger management, and impulse control."
58478,"The american lung association is the leading organization working to save lives by improving lung health and preventing lung disease through education, advocacy and research."
58479,"Monthly education and support for recovering stroke victims, their families, and caregivers."
58489,"This program provides a wide range of classes, exercise, support groups, workshops, and networking groups for someone currently or previously diagnosed with cancer."
58493,"Counseling, crisis intervention, pregnancy prevention and childbirth education, doula support services to pregnant and parenting teens in north county enrolled in a pinellas county school."
58496,"Meeting the spiritural, practical and emotional needs of people living with hiv"
58519,"Intensive outpatient therapy for mental health services. Group therapy only for a wide vairety of issues including substance abuse, depression, caregiver stress, and more."
58662,Emergency financial assistance.
58665,Emergency home energy assistance for elders program provides financial assistance with utility deposits and past due bills.
58675,Determination of need is made on an individual basis and all information is verified.
58684,"VA administers a variety of benefits and services for service members, veterans, and their dependents and survivors."
58688,The program prevents veterans from becoming homeless by providing housing and support. Financial help is available for veterans demonstrating the inability to pay for rent and utilities.
58697,"Provides protection and hope for 5, 800 children annually through programs including shelter for abused and neglected children, case management, foster care, adoption, mentoring and counseling."
58702,"Provides programs for domestic violence, anger management, and life skills."
58712,Provides adult wellness programs and personal and social development of youth.
58719,"At colvin health group, we work every day to give you the toolsthrough education, training and consultingto reach your personal or organizational wellness goals."
58724,Reduce truancy rate and crime among school children during school hours.
58771,"Provides recreational activities while improving personal and social development of youth, and community wellness programs."
58780,Hubbard House can hep all victims of domestic violence.
58789,Aims to provide children with a focus and opportunity to work play and pray together.
58797,Provides recreational activities while improving personal and social development of youth and family wellness activities.
58807,"Organize and credential thousands of local transportation providers to serve specialized groups of people, who require all kinds of personal mobility solutions"
59120,"Primary Care, Behavioral Health and Dental Care"
59124,"Primary Care, Specialty care, Special Services"
